,0,1
90,[ 10.77484672 106.66049299   0.96030549  -0.73661638],[ 10.77484129 106.66086786   0.96019468  -0.7362702 ]
91,[ 10.77496663 106.66057641   0.96050121  -0.73652305],[ 10.77488476 106.66067988   0.96012865  -0.73641111]
92,[ 10.7748124  106.66047286  -0.30340926  -1.14722544],[ 10.77541884 106.66035502  -0.30315989  -1.14772215]
93,[ 10.77510203 106.66054573  -0.30334853  -1.1474141 ],[ 10.77467092 106.66033132  -0.30372319  -1.14726643]
94,[ 10.77514074 106.66047752  -0.30357459  -1.14717492],[ 10.77478429 106.66104702  -0.30337982  -1.14694671]
95,[ 10.77509285 106.66047406  -0.30337153  -1.14733652],[ 10.77530108 106.66011323  -0.30362623  -1.14761966]
96,[ 10.77496003 106.66037681   1.135166    -0.31361881],[ 10.7753245  106.66047459   1.13503544  -0.31368464]
97,[ 10.77529204 106.66056489   1.13521759  -0.31357157],[ 10.77495761 106.66062903   1.1352952   -0.31378959]
98,[ 10.77517394 106.66047068   1.13522772  -0.31365802],[ 10.77554305 106.66062556   1.13480122  -0.31353601]
99,[ 10.77502685 106.66044015  -0.53099756  -1.0247137 ],[ 10.77536927 106.66097354  -0.53098442  -1.02451809]
100,[ 10.77499217 106.66045146  -0.53081465  -1.02472524],[ 10.77489728 106.66064891  -0.53097525  -1.02444525]
101,[ 10.77492278 106.66033246  -0.53098045  -1.02465775],[ 10.7752525  106.66076345  -0.53088562  -1.02498327]
102,[ 10.77504127 106.66043368   0.93456329   0.60199669],[ 10.77469689 106.66054048   0.93376497   0.60170511]
103,[ 10.7751255  106.66059558   0.93447425   0.60190901],[ 10.77473871 106.66052352   0.93429068   0.60158061]
104,[ 10.77489517 106.66057219   0.93449972   0.60187533],[ 10.77494761 106.66058495   0.93443531   0.60218358]
105,[ 10.77502086 106.66067781  -0.74874216  -0.43077053],[ 10.77509279 106.66081632  -0.74878916  -0.43065468]
106,[ 10.77510141 106.66038322   0.42659585  -0.15273079],[ 10.77533703 106.65962824   0.42616172  -0.15284112]
107,[ 1.07750383e+01  1.06660591e+02  1.12360406e-03 -5.19756077e-05],[1.07750507e+01 1.06660030e+02 1.04010574e-03 5.50088177e-04]
108,[ 10.77487942 106.66039742   0.32916975  -0.25814831],[ 10.77510207 106.66019182   0.3287831   -0.25819342]
109,[ 10.7748158  106.6604476    0.14375835  -0.56907682],[ 10.77502243 106.66003624   0.14343231  -0.56886615]
110,[ 1.07751618e+01  1.06660469e+02  6.24460913e-01 -4.96868571e-02],[ 1.07757953e+01  1.06660589e+02  6.24445753e-01 -4.98311897e-02]
111,[ 10.77498169 106.66050358  -0.13907826  -0.58879014],[ 10.77503535 106.66035774  -0.13892242  -0.58851454]
112,[1.07749446e+01 1.06660329e+02 1.41565365e-02 3.51709117e-01],[1.07749146e+01 1.06660418e+02 1.38896325e-02 3.52248154e-01]
113,[ 1.07749186e+01  1.06660438e+02  1.55724047e-03 -2.07418164e-04],[ 1.07750529e+01  1.06660241e+02  9.43844172e-04 -1.24216671e-04]
114,[ 10.77488814 106.66052293   0.16946325  -0.37316461],[ 10.77505499 106.65984067   0.17002673  -0.37314344]
115,[ 10.77496548 106.66069676   0.59702256  -0.50039976],[ 10.77484789 106.66080233   0.59705383  -0.500558  ]
116,[ 10.77489164 106.66038111  -0.1396129   -0.91137346],[ 10.77496199 106.66032666  -0.13957699  -0.91173428]
117,[ 10.77474551 106.6603652   -0.62975457  -0.64762715],[ 10.77531758 106.66015487  -0.62986982  -0.6476293 ]
118,[ 10.77462556 106.66038188  -0.80618541   0.61481947],[ 10.77532703 106.66082814  -0.80632079   0.61473939]
119,[ 10.77480853 106.66028736   0.60475812  -0.87703825],[ 10.77460966 106.66024494   0.60513453  -0.87700611]
120,[ 10.77497487 106.66027454   0.70679614   0.666498  ],[ 10.77500293 106.66035478   0.70652482   0.66683313]
121,[ 1.07748952e+01  1.06660380e+02 -8.48895004e-01 -6.04072987e-02],[ 1.07748588e+01  1.06660440e+02 -8.48859078e-01 -5.98832463e-02]
122,[ 10.77472146 106.66032403   0.79879273  -0.11789148],[ 10.77466304 106.6604288    0.79877828  -0.11753187]
