,0,1
247,[ 1.07611286e+01  1.06660710e+02 -5.12610290e-05  1.03041503e-04],[ 1.07607929e+01  1.06660655e+02  2.16070013e-04 -2.72991114e-04]
248,[ 10.76089585 106.66083283  -0.2180782   -0.92781546],[ 10.76089375 106.66038124  -0.21794746  -0.92845336]
249,[ 10.76099638 106.66070723  -0.69796441   0.24551953],[ 10.76106219 106.66087322  -0.69743633   0.24546754]
250,[ 10.76072577 106.66077033  -0.74172551  -1.06290204],[ 10.76083808 106.66084979  -0.74143282  -1.0626661 ]
251,[ 1.07608532e+01  1.06661025e+02  7.16794287e-02 -1.39158151e+00],[ 1.07607759e+01  1.06661279e+02  7.17410120e-02 -1.39178570e+00]
252,[ 10.76063809 106.66079822   0.1858943   -0.33425616],[ 10.76107179 106.66093702   0.18562429  -0.33429274]
253,[ 1.07604857e+01  1.06661070e+02  6.69194749e-02 -3.19733503e-04],[ 1.07607519e+01  1.06661002e+02  6.70411080e-02 -3.48720237e-04]
254,[ 10.76037999 106.66095288   0.12565056  -0.37011571],[ 10.76106744 106.660816     0.12556067  -0.37040789]
255,[ 1.07604168e+01  1.06661103e+02  8.98448146e-03 -1.34186623e-04],[ 1.07606827e+01  1.06660770e+02  8.65946803e-03 -2.46516368e-04]
256,[ 1.07606277e+01  1.06660919e+02 -9.82612861e-06  7.86767494e-05],[1.07600109e+01 1.06661343e+02 3.09568757e-04 8.16164257e-05]
257,[ 1.07605156e+01  1.06660939e+02  1.85866763e-03 -1.05483884e-04],[ 1.07602216e+01  1.06660610e+02  2.02072553e-03 -9.55738816e-06]
258,[1.07604655e+01 1.06661150e+02 7.51214979e-05 9.73604365e-05],[ 1.07604406e+01  1.06661328e+02  3.85042131e-04 -2.76831618e-04]
259,[ 1.07605275e+01  1.06661139e+02 -1.87293170e-05 -3.28476242e-05],[1.07604574e+01 1.06661233e+02 2.84855251e-04 8.14896819e-05]
260,[ 1.07603911e+01  1.06660817e+02 -4.88744477e-05 -1.03023639e-05],[ 1.07609086e+01  1.06660903e+02 -1.53491533e-05 -3.89885334e-05]
261,[ 1.07603924e+01  1.06660862e+02 -9.80325275e-05 -7.66072090e-05],[ 1.07609620e+01  1.06660704e+02 -2.86269200e-04 -1.40479291e-04]
262,[ 1.07604065e+01  1.06660853e+02 -3.62777133e-05  3.25299058e-05],[ 1.07604092e+01  1.06661038e+02 -2.68985428e-04  1.52344352e-04]
263,[1.07605530e+01 1.06660997e+02 1.01723360e-04 1.18422557e-04],[ 1.07606493e+01  1.06661073e+02 -2.93415747e-04  4.36490496e-05]
264,[ 1.07603950e+01  1.06661246e+02  1.13283923e-01 -5.38804344e-02],[ 1.07600635e+01  1.06661032e+02  1.12983054e-01 -5.40381573e-02]
265,[ 1.07603497e+01  1.06661124e+02  1.53620001e-03 -1.19945802e-06],[1.07606050e+01 1.06661030e+02 1.48520679e-03 7.66033255e-05]
266,[ 1.07603764e+01  1.06661011e+02 -8.06806907e-05  1.26082682e-05],[ 1.07603778e+01  1.06661105e+02 -1.91526197e-04 -1.78575718e-04]
267,[ 10.7602232  106.66103091   0.55388737   1.63980928],[ 10.76068107 106.66156106   0.55388492   1.64019452]
268,[ 10.76037368 106.66136884   0.93550773   0.69049978],[ 10.75972386 106.6609799    0.93561765   0.69050757]
269,[ 1.07603977e+01  1.06661205e+02 -2.74007422e-02 -1.18417235e+00],[ 1.07602643e+01  1.06660979e+02 -2.74563949e-02 -1.18394234e+00]
270,[ 10.76039237 106.66124257   0.35354465  -0.32899735],[ 10.76013132 106.66143717   0.35375586  -0.32872968]
271,[ 1.07603457e+01  1.06661357e+02  3.28258753e-02 -1.55839998e-04],[1.07606188e+01 1.06660990e+02 3.33479553e-02 4.74715136e-04]
272,[ 10.76036779 106.66145362   0.21713975  -1.14734898],[ 10.76021319 106.661023     0.21751577  -1.14711161]
273,[1.07604586e+01 1.06661615e+02 9.22688218e-01 9.57661310e-03],[1.07607231e+01 1.06661103e+02 9.23026403e-01 9.74167210e-03]
274,[ 1.07601783e+01  1.06661494e+02  5.93824705e-02 -2.84203062e-05],[1.07604865e+01 1.06661388e+02 5.92088645e-02 1.08478306e-04]
275,[ 1.07603546e+01  1.06661476e+02  5.91992334e-06 -2.04359036e-05],[1.07605605e+01 1.06661948e+02 1.35263259e-04 5.96256577e-04]
276,[ 1.07603561e+01  1.06661388e+02  1.02847780e-04 -5.54193790e-06],[1.07605748e+01 1.06660796e+02 1.42980811e-05 6.24572134e-05]
277,[ 1.07602240e+01  1.06661658e+02 -1.85152710e-04 -1.11016783e-04],[ 1.07597861e+01  1.06661869e+02 -3.50285202e-04 -6.34415292e-04]
278,[ 1.07605170e+01  1.06661583e+02 -1.49750122e-04 -7.32756941e-05],[ 1.07604889e+01  1.06661869e+02 -4.43945531e-04 -4.93048790e-04]
