__id__,accuracy,latitude,longitude,altitude,course,fixtime,speed
XTjYuCdyOyyQq483j9vV,11.720999717712402,10.7757188,106.6600157,5.200000286102295,228.9196014404297,2025-04-02T09:34:55.518545Z,1.3027329444885254
w8tRqIHgy0dFWkq6F2cR,12.255999565124512,10.7757501,106.660063,5.300000190734863,155.5111541748047,2025-04-02T09:35:45.643009Z,0.14180205762386322
H7qPNucKLg04SFrbkwB8,12.62399959564209,10.7757352,106.6600308,5.300000190734863,244.1401824951172,2025-04-02T09:35:51.315681Z,0.7103909254074097
XXFVudwFBAWKfyrCDpM8,12.62399959564209,10.7757352,106.6600308,5.300000190734863,244.1401824951172,2025-04-02T09:35:51.315681Z,0.7103909254074097
7hP9rklwykSa93OltWOm,11.934000015258789,10.7757403,106.6600473,5.200000286102295,0,2025-04-02T09:36:01.450987Z,0.07498008012771606
4QFzU8M1I8CRRSn3CXKy,14.741999626159668,10.7757326,106.6600479,5.200000286102295,55.93006134033203,2025-04-02T09:36:35.797771Z,1.072986125946045
1WRVNPRctV0JEHPYlPWh,16.44700050354004,10.7756801,106.6600064,5.300000190734863,217.196533203125,2025-04-02T09:36:41.556547Z,1.1915725469589233
AkyoqRNtnzeMPVQ4BOYz,15.6850004196167,10.7757349,106.660021,5.300000190734863,13.456204414367676,2025-04-02T09:36:45.843815Z,1.308137059211731
B9Be7004VVdbm99BY2ik,15.484000205993652,10.775749,106.6600242,5.200000286102295,12.958256721496582,2025-04-02T09:36:51.567742Z,0.35141608119010925
1ktlNhooY2d3T6fTaltx,14.14900016784668,10.775745,106.6600317,5.200000286102295,113.01375579833984,2025-04-02T09:36:55.851370Z,0.18732674419879913
X8aDNK256fwl2PGx7kkC,13.791000366210938,10.7757561,106.660031,5.200000286102295,48.561920166015625,2025-04-02T09:38:25.011926Z,0.3584309220314026
NyzHWMXdcozOAFchapx3,13.029999732971191,10.7757343,106.6600095,5.200000286102295,224.0163116455078,2025-04-02T09:38:29.332770Z,0.7189902663230896
e9MKKkPBCo9eXXVltd9c,13.029999732971191,10.7757343,106.6600095,5.200000286102295,224.0163116455078,2025-04-02T09:38:29.332770Z,0.7189902663230896
yUU1bzY12lQ6h9VGqOvb,12.829999923706055,10.7758194,106.6602236,5,59.51017761230469,2025-04-02T09:43:00.058409Z,0.6828910112380981
fkmF1Y3k8Q3KaGF4OMYA,11.27400016784668,10.7758119,106.6601945,5,222.25747680664062,2025-04-02T09:43:03.368464Z,1.5781949758529663
41KiYRafZM5w6YA5SlZ6,10.97599983215332,10.7758031,106.6601822,5,224.5586395263672,2025-04-02T09:43:05.354277Z,2.283228874206543
9Y2KfZARQuM101juWnWz,11.20300006866455,10.7757806,106.6602102,5.099999904632568,207.74667358398438,2025-04-02T09:43:07.349087Z,2.431438684463501
Ip1edx03A90Qg5MKgsWK,11.225000381469727,10.7757748,106.6602229,5.099999904632568,203.15841674804688,2025-04-02T09:43:08.350365Z,2.1823878288269043
lpKp2EQl7rW7vSvBZOdB,11.293000221252441,10.7757817,106.6602352,5.099999904632568,201.10548400878906,2025-04-02T09:43:09.337589Z,1.8701112270355225
I4ImcvLoto9aabIlX0F6,10.576000213623047,10.7758008,106.6602461,5,205.06288146972656,2025-04-02T09:43:12.327865Z,1.3359794616699219
P4ZSvLd6NFoBIZD2n0CG,10.324000358581543,10.7757989,106.660254,5,206.34376525878906,2025-04-02T09:43:13.361216Z,1.311873197555542
N9yIcv8WOvLn0sSNhj37,8.348999977111816,10.7757027,106.6602558,5,214.21534729003906,2025-04-02T09:43:15.329487Z,1.5027662515640259
gvkmH5iinPNmzDbxV64R,7.568999767303467,10.7757224,106.6602551,5,226.00112915039062,2025-04-02T09:43:16.359630Z,0.9986905455589294
nw05u3xQEcM8BS2JxgJZ,5.079999923706055,10.775725,106.6602701,5,265.96148681640625,2025-04-02T09:43:18.352825Z,0.14932864904403687
6UnstSrDo1bZFEbggaEe,4.382999897003174,10.7757218,106.6602876,5,0,2025-04-02T09:43:20.343314Z,0.01109339203685522
