__id__,accuracy,altitude,course,fixtime,latitude,longitude,speed
08y8WEnF1WWMwAvO9OOH,2.25,4.900000095367432,0,2025-04-02T09:44:00.820732Z,10.7753677,106.6605394,0.0800527036190033
0faUv2Fx4rnBMiEMhbqC,1.6399999856948853,5,248.06321716308594,2025-04-02T09:45:56.804203Z,10.7751046,106.6605716,0.541358470916748
0hOcjAWfzLk90Efvpyii,1.649999976158142,5,0,2025-04-02T09:46:33.781045Z,10.7749957,106.6604094,0.0015675025060772896
0odEG7H0rbMvB9ZF4DOG,1.600000023841858,5,0,2025-04-02T09:45:48.790805Z,10.7751485,106.660617,0.0966036468744278
0qMoVhUkzRzcF5fGj5L6,1.6799999475479126,5,244.7747039794922,2025-04-02T09:46:06.804267Z,10.7750677,106.6604678,1.177754521369934
0uy9FmvGsti9nmugQKtN,1.75,5,167.02651977539062,2025-04-02T09:46:09.796471Z,10.7750504,106.660455,0.8638932108879089
13DYICV6lo2m49GyIm6N,2.4600000381469727,-0.30000000000000027,193.944091796875,2025-04-02T10:00:32.809257Z,10.761436,106.6605535,1.0601110458374023
14weqvYFDj9Oa8tfBhfE,1.5399999618530273,-2.2,242.11415100097656,2025-04-02T09:51:04.823007Z,10.7724715,106.6587038,1.1219401359558105
1ItTSuxlLWYhXaDCeH1Y,1.659999966621399,5,249.498046875,2025-04-02T09:46:05.814860Z,10.7750701,106.6604767,1.1867414712905884
1TDvfGvYtgWPBlDx8XbE,2.6600000858306885,-1.4000000000000004,0,2025-04-02T10:02:42.816790Z,10.7604451,106.6611366,0.0017342177452519536
1WRVNPRctV0JEHPYlPWh,16.44700050354004,5.300000190734863,217.196533203125,2025-04-02T09:36:41.556547Z,10.7756801,106.6600064,1.1915725469589233
1gRJRQC7Q9Ec6B1D2YuC,1.4600000381469727,3.5999999999999996,234.99720764160156,2025-04-02T09:51:34.815560Z,10.7722684,106.6583502,1.2701289653778076
